deploymentID,eventID,scientificName,eventStart
RSAMP01,EV1001,Canis_lupus,2024-06-04T03:12:00Z
RSAMP01,EV1002,Vulpes_vulpes,2024-06-18T22:05:00Z
RSAMP02,EV1003,Canis_lupus,2024-06-09T04:47:00Z
RSAMP02,EV1004,Canis_lupus,2024-07-02T01:33:00Z
RSAMP03,EV1005,Odocoileus_virginianus,2024-06-14T19:21:00Z
RSAMP03,EV1006,Canis_lupus,2024-07-11T05:58:00Z
RSAMP04,EV1007,Canis_lupus,2024-06-21T02:09:00Z
RSAMP04,EV1008,Canis_lupus,2024-07-19T23:47:00Z
RSAMP05,EV1009,Lynx_lynx,2024-06-26T08:14:00Z
RSAMP06,EV1010,Canis_lupus,2024-07-06T04:02:00Z
